day_range,info,market_segment,name,previous_close,stock_Value,time,volume
€11.15 - €11.15,"Orange S.A., formerly France Télécom S.A. is a French multinational telecommunications corporation. It has 266 million customers worldwide and employs 89,000 people in France and 59,000 people elsewhere. In 2015, the group had a revenue of €40 billion. The company's head office is located in Issy-les-Moulineaux. Orange has been the company's main brand for mobile, landline, internet and Internet Protocol television services since 2006. The Orange brand originated in the United Kingdom in 1994 after Hutchison Whampoa acquired a controlling stake in Microtel Communications: that company became a subsidiary of Mannesmann in 1999 and then was acquired by France Télécom in 2000. The France Télécom company was rebranded to Orange on 1 July 2013. The company has faced criticism due to the Orange S.A. suicides.",18.28,Orange SA,€11.06,€11.15,"Nov 24, 2:08:34 PM GMT+1 · EUR · ETR ·",€9.10 - €11.85
€1.13 - €1.14,"Port of Tallinn is the biggest port authority in Estonia. Taking into account both cargo and passenger traffic, it is one of the largest port enterprises of the Baltic Sea. Port of Tallinn is a publicly listed company managing five constituent ports: Tallinn Passenger Port / Old City Harbour – the main passenger harbour in Estonia; located in the centre of Tallinn; one of the busiest passenger ports of the Baltic Sea Muuga Harbour – the largest cargo harbour in Estonia, located in Maardu, 13 km northeast of Tallinn city centre Paldiski South Harbour – a cargo harbour in Paldiski, 40 km west from Tallinn Paljassaare Harbour – a small cargo harbour a few kilometres northwest of Tallinn city centre in Paljassaare Saaremaa Harbour – a passenger harbour on the island of Saaremaa, in Ninase In October 2016, the Port of Tallinn subsidiary TS Laevad took over operation of the ferry routes between the Estonian mainland and the islands of Saaremaa and Hiiumaa. Under the subsidiary, TS Shipping, the Port of Tallinn owns and operates icebreaker MSV Botnica.",32.23K,Tallinna Sadam AS,€1.13,€1.14,"Nov 24, 3:59:52 PM GMT+2 · EUR · TAL ·",€1.12 - €1.50
€62.58 - €63.04,"Amadeus IT Group, S.A. is a major Spanish multinational technology company that provides software solutions for the global travel and tourism industry. It is the world's leading provider of travel technology that focus on developing software for airlines, hotels, travel agencies, and other travel-related businesses to enhance their operations and customer experiences. The company is structured around two areas: its global distribution system and its Information Technology business. Amadeus provides search, pricing, booking, ticketing and other processing services in real-time to travel providers and travel agencies through its Amadeus CRS distribution business area. It also offers computer software that automates processes such as reservations, inventory management software and departure control systems. It services customers including airlines, hotels, tour operators, insurers, car rental and railway companies, ferry and cruise lines, travel agencies and individual travellers directly. Amadeus processed 945 million billable travel transactions in 2011. The parent company of Amadeus IT Group, holding over 99.7% of the firm, is Amadeus IT Holding S.A.",683.96K,Amadeus It Group SA,€62.76,€62.98,"Nov 24, 3:35:07 PM GMT+1 · EUR · BME ·",€48.36 - €70.22
$83.02 - $87.32,"CSL Limited is an Australian multinational specialty biotechnology company that researches, develops, manufactures, and markets products to treat and prevent serious human medical conditions. CSL's product areas include blood plasma derivatives, vaccines, antivenom, and cell culture reagents used in various medical and genetic research and manufacturing applications. The company was established in 1916 as Commonwealth Serum Laboratories and was wholly owned by the Australian federal government until its privatisation in 1994.",109.95K,Csl ADR,$84.70,$83.02,"Nov 24, 9:33:10 AM GMT-5 · USD · OTCMKTS ·",$71.51 - $110.25
¥50.28 - ¥51.30,"Supor, full name Zhejiang Supor Co., Ltd., is a Chinese cookware and small appliances company, headquartered in Binjiang District, Hangzhou, Zhejiang, China. It was founded in 1994. In 2006 it was the largest such company in China. That year Groupe SEB, a French company, paid 2.37 billion yuan to acquire Supor. It was the first Chinese cookware company to be listed on a stock market.",1.34M,Zhejiang Supor Co Ltd,¥50.67,¥51.26,"Nov 24, 4:29:45 PM GMT+8 · CNY · SHE ·",¥44.17 - ¥58.50
$19.80 - $19.84,"Burberry Group plc is a British luxury fashion house established in 1856 by Thomas Burberry and headquartered in London, England. It designs and distributes ready to wear, including trench coats, leather accessories, and footwear.",1.24K,Burberry Group plc,$21.38,$19.80,"Nov 17, 8:10:00 PM GMT-5 · USD · OTCMKTS ·",$19.80 - $33.10
€10.70 - €10.70,"Deutsche Wohnen SE is a German property company, and one of the 30 companies that compose the DAX index. Previously listed on the MDAX, it replaced Lufthansa on the DAX after Lufthansa was downgraded to the MDAX because of losses during the COVID-19 pandemic. Germany's largest real estate company for private apartments Vonovia took over Deutsche Wohnen, the second largest German company in 2021. Vonovia acquired additional shares and now holds 87.6 percent of Deutsche Wohnen. This created a European real estate giant with around 568,000 apartments.",-,Deutsche Wohnen SE Unsponsored ADR,€10.60,€10.70,"Nov 24, 2:02:35 PM GMT+1 · EUR · FRA ·",€8.25 - €11.80
Rp 131.00 - Rp 134.00,"PT Indonesia AirAsia, operating as Indonesia AirAsia, is an Indonesian low-cost airline based in Tangerang, Banten. It operates scheduled domestic and international services and is an Indonesian associate carrier of the Malaysian AirAsia. Its main base is Soekarno–Hatta International Airport in Jakarta. Indonesia AirAsia is listed in category 1 by the Indonesian Civil Aviation Authority for airline safety quality.",209.48K,AirAsia Indonesia Tbk PT,Rp 131.00,Rp 132.00,"Nov 24, 4:40:00 PM GMT+7 · IDR · IDX ·",Rp 113.00 - Rp 230.00
€45.15 - €45.35,"The Bristol-Myers Squibb Company, doing business as Bristol Myers Squibb, is an American multinational pharmaceutical company. Headquartered in Princeton, New Jersey, BMS is one of the world's largest pharmaceutical companies and consistently ranks on the Fortune 500 list of the largest U.S. corporations. For fiscal 2022, it had a total revenue of $46.2 billion. Bristol Myers Squibb manufactures prescription pharmaceuticals and biologics in several therapeutic areas, including cancer, HIV/AIDS, cardiovascular disease, diabetes, hepatitis, rheumatoid arthritis, and psychiatric disorders. BMS's primary research and development sites are located in Lawrence, New Jersey, Summit, New Jersey, formerly HQ of Celgene, New Brunswick, New Jersey, Redwood City, California, and Seville in Spain, with other sites in Devens and Cambridge, Massachusetts, Braine-l'Alleud, Belgium, Tokyo, Japan, Bangalore, India, and Wirral, United Kingdom. BMS previously had an R&D site in Wallingford, Connecticut.",-,Bristol-Myers Squibb Co,€45.00,€45.25,"Nov 24, 2:34:56 PM GMT+1 · EUR · FRA ·",€44.00 - €77.11
¥118.25 - ¥120.34,"Transsion Holdings is a Chinese manufacturer of mobile phones based in Shenzhen. It was the largest smartphone manufacturer by sales in Africa in 2017, and also sells mobile phones in the Middle East, Southeast Asia, South Asia, and Latin America. Its brands include phone brands such as Itel, Tecno, Infinix; after-sales service brand Carlcare; and accessories brand Oraimo. It manufactures phones in China, Indonesia, Pakistan, Ethiopia, Bangladesh and recently in India.",3.69M,Shenzhen Transsion Holdings Co Ltd,¥118.86,¥119.89,"Nov 24, 3:59:51 PM GMT+8 · CNY · SHA ·",¥70.50 - ¥156.00
€94.75 - €99.80,"Elia is a Belgian transmission system operator for high-voltage electricity, located in Brussels, Belgium. It operates in Belgium and Germany. The company transmits electricity from generators to distribution system operators, which then supply SMEs and homes. Elia also has contracts with major industrial users that directly connect to its high-voltage grid. Elia's main activities include managing grid infrastructure, managing the electrical system and facilitating the market. Elia Group also offers consulting and engineering services through a subsidiary Elia Grid International, founded in 2014.",49.25K,Elia Group SA,€99.70,€95.15,"Nov 24, 3:35:46 PM GMT+1 · EUR · EBR ·",€86.25 - €146.10
€4.66 - €4.66,"Acer Inc. is a Taiwanese multinational hardware and electronics corporation specializing in advanced electronics technology, headquartered in Xizhi, New Taipei City. Its products include desktop PCs, laptop PCs, tablets, servers, storage devices, virtual reality devices, displays, smartphones and peripherals, as well as gaming PCs and accessories under its Predator brand. Acer is the world's 6th-largest PC vendor by unit sales as of September 2022. In the early 2000s, Acer implemented a new business model, shifting from a manufacturer to a designer, marketer, and distributor of products, while performing production processes via contract manufacturers. Currently, in addition to its core IT products business, Acer also has a new business entity that focuses on the integration of cloud services and platforms, and the development of smartphones and wearable devices with value-added IoT applications.",-,Acer Inc (GDR) GDR Reg S,€4.66,€4.66,"Nov 24, 9:15:04 AM GMT+1 · EUR · FRA ·",€2.80 - €6.00
€191.98 - €192.24,"CrowdStrike Holdings, Inc. is an American cybersecurity technology company based in Austin, Texas. It provides cloud workload and endpoint security, threat intelligence, and cyberattack response services. The company has been involved in investigations of several high-profile cyberattacks, including the 2014 Sony Pictures hack, the 2015–16 cyber attacks on the Democratic National Committee, and the 2016 email leak involving the DNC.",-,Crowdstrike Holdings Inc,€192.46,€192.16,"Nov 24, 3:31:32 PM GMT+1 · EUR · FRA ·",€86.14 - €194.34
¥37.40 - ¥39.80,"Netac Technology Co., Ltd. is a Chinese data storage company headquartered in Shenzhen. The company claims to be the world's first inventor of USB flash drive, although that claim is disputed by IBM and other manufacturers.",16.08M,"NETAC TECHNOLOGY CO., LTD.",¥39.11,¥38.00,"Nov 24, 4:29:47 PM GMT+8 · CNY · SHE ·",¥11.86 - ¥47.22
$37.79 - $37.79,"Bombardier Inc. is a Canadian business jet manufacturer. Headquartered in Montreal, the company was founded in 1942 by Joseph-Armand Bombardier to market his snowmobiles and became one of the world's biggest producers of aircraft and trains. In the 1970s and 1980s, the company diversified into public transport vehicles and commercial jets and became a multinational corporation. It grew particularly fast at the end of the 1980s when the turnover multiplied sixfold within six years. At that time it was North America's most important producer of railway vehicles, Canada's most important aerospace producer and the worldwide leading snowmobile manufacturer. The growth came mainly from buying failing government-owned companies at a low price and orchestrating a turnaround. However, the launch of the CSeries aircraft sent the company into deep debt, pushing it to the brink of bankruptcy by 2015. As a result, the company sold nearly all of its operations except business jet manufacturing. Bombardier manufactures several series of corporate jets: Global 7500, Global Express, Challenger 650 and Challenger 3500.",121.00,"Bombardier, Inc. Class A",$38.85,$37.79,After Hours:,$29.16 - $53.90
€8.10 - €8.10,"Sezzle is a publicly traded financial technology company headquartered in Minneapolis, U.S, with operations in the United States and Canada. The company provides an alternative payment platform offering interest-free installment plans at selected online stores. As of June 2021, the Sezzle platform had over 10 million user sign-ups and over 48,000 participating merchants.",-,Sezzle Inc CHESS,€7.90,€8.10,"Nov 24, 8:11:34 AM GMT+1 · EUR · FRA ·",€7.90 - €18.32
$409.89 - $416.95,"Lennox International Inc. is a provider of climate control products for the heating, ventilation, air conditioning, and refrigeration markets. The company is based outside Dallas, Texas in the United States and has operations globally.",343.02K,Lennox International Inc,$411.16,$415.51,"Nov 24, 9:50:42 AM GMT-5 · USD · NYSE ·",$232.00 - $416.95
€45.84 - €46.20,"Arcadis NV is a global design, engineering and management consulting company based in the Zuidas, Amsterdam, Netherlands. It currently operates in excess of 350 offices across 40 countries. The company is a member of the Next 150 index. Arcadis was founded as the land reclamation specialist Nederlandsche Heidemaatschappij in 1888. Over the following decades, the firm became involved in various development projects, initially with a rural focus. As a consequence of a restructuring in 1972 that divided the company, it became Heidemij. During 1993, the firm merged with the North American business Geraghty & Miller, resulting in its listing on the Nasdaq index. During 1997, the company adopted its current name, Arcadis; subsidiaries were similarly rebranded. Since 1990, the company has largely expanded itself via a series of acquisitions and mergers, which have allowed it to both expand its presence in existing markets as well as to enter new ones. It performs design and consultancy services on a wide variety of undertakings. Arcadis has been involved in several high profile construction projects, including London City Airport and the A2 motorway.",181.46K,ARCADIS NV,€46.04,€46.00,"Nov 24, 3:35:39 PM GMT+1 · EUR · AMS ·",€35.84 - €46.26
"₩4,165.00 - ₩4,310.00","Pan Ocean Co., Ltd. is a shipping company headquartered in Seoul, South Korea. It is an affiliated company of Harim Group.",3.48M,Pan Ocean Co Ltd,"₩4,280.00","₩4,220.00","Nov 24, 6:27:16 PM GMT+9 · KRW · KRX ·","₩4,050.00 - ₩6,870.00"
zł 7.81 - zł 7.96,"Orange Polska is a Polish telecommunications provider established in December 1991. It is a public company traded on the Warsaw Stock Exchange, with a controlling stake owned by Orange S.A., the latter controlling over 50% of this stake by 2002. It operates the following services: PSTN, ISDN, GSM 900/1800 network, ADSL, IDSL, FTTH fibre Internet, Frame Relay, ATM and Inmarsat.",2.04M,Orange Polska SA,zł 7.89,zł 7.85,"Nov 24, 3:36:19 PM GMT+1 · PLN · WSE ·",zł 6.10 - zł 8.17
¥2.73 - ¥2.85,"Huayi Brothers Media Corp. is a Chinese multinational entertainment company that owns a film studio, a television production company, a talent agency, a record label, entainterment theme parks, and a movie theater chain founded in Beijing, Shanghai, Hong Kong, Macau, & Taipei by Dennis Wang Zhongjun and James Wang Zhonglei in 1994. The company made world news on October 30, 2009, when the Shenzhen Stock Exchange ChiNext Board was halted, after HBMC's stock price reached 122.74 percent above its IPO price, to open at 63.66 yuan per share. Patrick Frater of Variety called it ""China’s largest private sector film conglomerate"". In 2014, the company was the seventh-largest film distributor in China, with 2.26% of the market.",54.49M,HUAYI BROTHERS MEDIA CORPORATION,¥2.76,¥2.75,"Nov 24, 4:29:47 PM GMT+8 · CNY · SHE ·",¥2.18 - ¥3.92
$93.84 - $93.97,"Amedisys, Inc. is an American healthcare company based in Baton Rouge, Louisiana. They are one of the largest home health providers and second largest hospice care provider in the United States. Amedisys provides in-home skilled nursing, physical therapy, occupational therapy and speech language pathology, medical social work, home aides, and hospice and bereavement services, with 11 million patient care visits in 2011. Amedisys employs more than 21,000 individuals at more than 500 locations in 39 states and Washington, D.C. In 2010, annual revenues were approximately $1.6 billion. Amedisys was ranked 999 on the Fortune 1000 in 2011. In June 2023, Optum agreed to acquire Amedisys for $3.3 billion.",285.23K,Amedisys Inc,$93.89,$93.95,"Nov 24, 9:51:19 AM GMT-5 · USD · NASDAQ ·",$69.36 - $106.02
$7.11 - $7.75,"Acorn Energy Inc. is a NASDAQ-listed conglomerate investing in electricity generation and security. It was founded by George Morgenstern in 1984 as Decision Systems, Inc. and was taken public by Laidlaw Securities. The name was later changed to Data Systems and Software Inc. John Moore became CEO in 2006 and changed the name to Acorn Factor and later to Acorn Energy.",882.00,Acorn Energy Inc,$8.09,$7.75,"Nov 22, 8:10:00 PM GMT-5 · USD · OTCMKTS ·",$4.00 - $8.40
€6.88 - €7.01,"Metsä Board Oyj, previously known as M-real Corporation, is a leading European producer of premium fresh fibre paperboards including folding boxboards, food service boards and white kraftliners. It was originally established by G.A. Serlachius, and named Metsä-Serla. Metsä Board is part of Metsä Group, one of the largest forest industry groups in the world. On 29 September 2008, M-Real sold four of its paper mills to South African company, Sappi. Nowadays, Metsä Board focuses on folding boxboards, food service boards and white kraftliners and developing better packaging solutions with less environmental impact. Metsä Board has altogether seven production units in Finland and one in Sweden. In the fall of 2020, Metsä Board announced that it would open a competence center in Äänekoski focusing on cardboard and packaging innovations. In the same factory area, among others, Metsä Group's bioproduct factory, cardboard factory, birch veneer factory, wood-based textile fiber test factory and a test factory producing 3D fiber products, which started in May 2022, operate.",452.23K,Metsa Board Oyj Class B,€6.98,€6.95,"Nov 24, 4:50:11 PM GMT+2 · EUR · HEL ·",€6.26 - €8.96
€7.10 - €7.25,"CFE is a Belgian company with interested in real estate development, construction & renovation, engineering and investments. The company is listed on Euronext Brussels and is 62.12% owned by Ackermans & van Haaren.",6.78K,Compagnie d'entreprises CFE SA,€7.27,€7.22,"Nov 24, 3:21:45 PM GMT+1 · EUR · EBR ·",€6.20 - €10.50
"₩22,700.00 - ₩22,950.00","HiteJinro Co., Ltd. is a South Korean multinational drink, brewing and distiller company, founded in 1924. It is the world's leading producer of soju, accounting for more than half of that beverage's domestic sales. It also manufactures a variety of other alcoholic beverages including red wine and whiskey. Distilleries are located in Icheon, Cheongwon, and Masan, with the Masan plant geared toward exports. In addition, Jinro produces the Soksu brand of bottled water at a factory in Cheongwon. In 2006, the company was acquired by Hite, a popular beverage company whose main product is beer. Jinro soju is known by the brand name Chamisul, which is the world's most popular liquor. Part of their marketing strategy is to use temperature sensitive paper on their bottle label. A tab in the shape of an Asiatic Toad is white when the bottle is warm and becomes blue when the bottle is cold, indicating that the soju is ready to drink. Jinro has been named the top-selling spirit in the world in the Millionaires' Club 2016, after selling 73.8m 9-litre in the year 2015.",424.42K,HiteJinro Co Ltd,"₩22,800.00","₩22,850.00","Nov 24, 6:23:29 PM GMT+9 · KRW · KRX ·","₩18,560.00 - ₩27,600.00"
$29.13 - $29.27,"Tri Pointe Homes, Inc. is a home construction company headquartered in Incline Village, Nevada. It also offers financing and insurance services to homebuyers. It operates in Arizona, California, Nevada, Washington, Colorado, Texas, the District of Columbia, Maryland, North Carolina, South Carolina, and Virginia. The company is the 18th largest home construction company in the United States based on the number of homes closed.",868.73K,Tri Pointe Homes Inc (Delaware),$29.33,$29.23,"Nov 24, 9:51:07 AM GMT-5 · USD · NYSE ·",$17.52 - $34.04
$13.70 - $24.29,"Yanzhou Coal Mining Company Limited, majority owned by Yankuang Group, is a coal mining company in Mainland China. It is engaged in underground mining coal preparation and sales, and railway transportation service of coal. Its products are mainly low-sulphur coal which is suitable for large-scale power plant and for use in pulverized coal injection.",C,Yankuang Energy Group Co Ltd ADR,$17.54,$17.54,"Nov 24, 9:30:01 AM GMT-5 · USD · OTCMKTS ·",17.78B USD
€85.05 - €86.15,"Philip Morris International Inc. is an American multinational tobacco company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro. Philip Morris International is often referred to as one of the companies comprising Big Tobacco. Until spun off in March 2008, Philip Morris International was an operating company of Altria. Altria explained the spin-off, arguing PMI would have more ""freedom,"" i.e. leeway outside the responsibilities and standards of American corporate ownership in terms of potential litigation and legislative restrictions to ""pursue sales growth in emerging markets"", while Altria focuses on the American domestic market. The shareholders in Altria at the time were given shares in PMI, which was listed on the London Stock Exchange and other markets. The company's legal seat is in Stamford, Connecticut, but it does not operate in the United States of America. Philip Morris USA, a subsidiary of PMI's former owner American parent Altria group, owns the Philip Morris brands there. PMI's operational headquarters are in Lausanne, Switzerland.",440.00,Philip Morris International Inc.,€86.00,€86.10,"Nov 24, 3:36:00 PM GMT+1 · EUR · ETR ·",€82.75 - €99.11
$26.50 - $26.71,"Daiichi Sankyo Company, Limited is a global pharmaceutical company and the second-largest pharmaceutical company in Japan. It achieved JPY 981.8 billion in revenue in 2019. The company owns the American biotechnology company Plexxikon, American pharmaceutical company American Regent, German biotechnology company U3 Pharma, and recently sold Ranbaxy Laboratories in India. Daiichi Sankyo Co., Ltd. is the producer of Benicar, an angiotensin II receptor antagonist and top selling drug in the U.S. Global sales of Olmesartan in 2013 were 300.2 billion yen. Daiichi Sankyo, Inc. began operating in the U.S. in 2006. It is the U.S. subsidiary of Daiichi Sankyo Company, Limited, and a member of the Daiichi Sankyo Group. The organization, which includes U.S. commercial operations and global clinical development, is headquartered in Basking Ridge, New Jersey. Daiichi Sankyo Europe, GmbH, the European subsidiary, is headquartered in Munich, Germany. The organization is responsible for development and manufacturing for 12 European countries.",4.33K,Daiichi Sankyo Co Ltd,$27.34,$26.71,"Nov 22, 8:10:00 PM GMT-5 · USD · OTCMKTS ·",$23.45 - $37.91
¥6.32 - ¥6.44,"Vatti is a Chinese company which manufactures kitchen appliances. It manufactures gas hobs, water heaters and extractor fans.",10.34M,Vatti Corp Ltd,¥6.41,¥6.37,"Nov 24, 4:29:49 PM GMT+8 · CNY · SHE ·",¥5.28 - ¥7.63
ILA 212.40 - ILA 226.00,"Evogene is a computational biology company based in Israel. Evogene Ltd. has developed a unique computational predictive biology ""CPB"" platform, which leverages big data with advanced algorithms such as machine learning and other artificial intelligence, while adding a deep understanding of biology and advanced biological technologies. Evogene is using its proprietary CPB platform to computationally design and develop next-generation life-science products based upon three core components: microbes, small molecules, and genetic elements. Evogene's computational platform allows it to substantially increase the probability of successful life-science product development, increase the efficacy and reduce the toxicity of its life-science products while reducing time and cost to development. Its strategic partners include BASF, Bayer, Corteva, ICL Group Ltd. as well as various academic and medical institutions.",85.97K,Evogene Ltd,ILA 222.80,ILA 222.20,"Nov 23, 5:24:17 PM GMT+2 · ILA · TLV ·",ILA 189.30 - ILA 610.40
¥2.61 - ¥2.67,"Geo-Jade Petroleum is a Chinese real estate development and oil exploration and production company with oilfields in Kazakhstan as well as exploration activity in Kazakhstan and Russia. The company has made two major acquisitions in 2014–15. In December 2014 it completed the acquisition of 95% of the shares of Maten Petroleum for $526 million. Maten Petroleum's main assets are located in three oil field blocks in production in Kazakhstan, the Matin, Eastern Kokarna and Kara-Arna oil fields. In the other deal, in January 2015 the company announced a $400 million acquisition of Kozhan JSC, an oil producing company in Kazkahstan with rights to develop the Morskoye, Karatal, Dauletally fields in Atyrau Oblast. The company's stock is listed in the Shanghai Stock Exchange since October 8, 1996.",14.86M,Geo-Jade Petroleum Corp,¥2.66,¥2.63,"Nov 24, 4:00:03 PM GMT+8 · CNY · SHA ·",¥2.15 - ¥3.05
₺10.38 - ₺11.38,Bossa Ticaret ve Sanayi Isletmeleri T.A.S. is a Turkish textile corporation. Bossa's shares are listed on Borsa Istanbul since 1995. 88% of the total amount of shares are owned by Mr. Israfil Ucurum and Mr. Yusuf Ucurum.,1.21M,Bossa Ticaret ve Sanayi Isletmeleri TAS,₺10.45,₺10.69,"Nov 24, 5:36:52 PM GMT+3 · TRY · IST ·",₺5.49 - ₺13.20
R$102.70 - R$131.29,"Ventas, Inc. is a real estate investment trust specializing in the ownership and management of health care facilities in the United States, Canada and the United Kingdom. As of December 2019, the group's portfolio consisted of 1,200 properties divided among nursing homes, medical office buildings, rehabilitation and acute care centres, special care centres, laboratories and research centres and medical-surgical centres for a total value of nearly $25 billion. As of 2019, it is a Fortune 1000 corporation.",A,Ventas Inc Bdr,R$102.70,R$102.70,"Nov 24, 11:32:02 AM GMT-3 · BRL · BVMF ·",17.88B USD
R$33.80 - R$33.80,"Monster Beverage Corporation is an American beverage company that manufactures energy drinks including Monster Energy, Relentless and Burn. The company was originally founded as Hansen's in 1935 in Southern California, originally selling juice products. The company renamed itself as Monster Beverage in 2012, and then sold their Hansen's juices and sodas and their other non-energy drink brands to the Coca-Cola Company in 2015. As of 2020, Monster held 39% of the $86 billion global energy drink market, the second highest share after Red Bull.",6.85K,Monster Beverage Corp Bdr,R$33.63,R$33.80,"Nov 24, 11:34:26 AM GMT-3 · BRL · BVMF ·",R$29.96 - R$38.51
"₩120,000.00 - ₩122,300.00","Hanwha Aerospace Co., Ltd., formerly Hanwha Techwin Co Ltd, is a subsidiary of Hanwha Group, is an aerospace industrial company headquartered in Changwon, South Korea. It was established in 1977 as Samsung Precision. The company is Korea's only gas turbine engine manufacturer, and specializes in the development, production and maintenance of aircraft engines. In 1979, it started the aircraft engine business with gas turbine engine depot maintenance business, providing various gas turbine solutions to Korea and all over the world and by 2016 the company had produced more than 8,000 pieces of equipment.",466.69K,Hanwha Aerospace Co Ltd,"₩121,900.00","₩120,100.00","Nov 24, 6:26:28 PM GMT+9 · KRW · KRX ·","₩65,000.00 - ₩151,000.00"
-,"Jet.com was an American e-commerce company headquartered in Hoboken, New Jersey. The company was co-founded in 2014 by Marc Lore, along with Mike Hanrahan and Nate Faust. Jet.com raised $820 million over four venture rounds from GV, Goldman Sachs, Bain Capital Ventures, Accel Partners, Alibaba Group, and Fidelity. The website was formally launched in July 2015. In September 2016, it became a subsidiary of Walmart. In June 2019, in the wake of slumping sales through the Jet.com site in the period following the acquisition, the majority of Jet.com employees were transferred to work on the Walmart.com site and Simon Belsham, the president of Jet.com, stepped down. On May 19, 2020, Walmart announced that it was shutting down Jet.com, which they did on June 4, directing visitors to use Walmart.com instead.",2014,Jetcom Ord Shs,$0.00,$0.00,"Jul 14, 7:10:00 PM GMT-5 · USD · OTCMKTS ·",-
€10.92 - €11.30,"Koenig & Bauer AG is a German company that makes printing presses based in Würzburg. It was founded by Friedrich Koenig and Andreas Friedrich Bauer in Würzburg in 1817, making it the oldest printing press manufacturer in the world still in service. 95% of the banknotes used in the world are printed on printers made by Koenig & Bauer Banknote Solutions SA, a division of Koenig & Bauer.",19.86,Koenig & Bauer AG,€11.20,€11.00,"Nov 24, 3:02:10 PM GMT+1 · EUR · ETR ·",€9.93 - €20.20
$117.51 - $118.55,"Visteon Corporation is an American global automotive electronics supplier based in Van Buren Township, Michigan. Visteon designs, engineers, and manufactures vehicle cockpit electronics products, connected car services and electrification products for a diversified customer base, including nearly all of the major automakers worldwide.",375.23K,Visteon Corp,$117.98,$118.53,"Nov 24, 9:51:40 AM GMT-5 · USD · NASDAQ ·",$108.66 - $171.66
$4.00 - $6.27,"The Wharf (Holdings) Limited, or Wharf in short, is a company founded in 1886 in Hong Kong. As its name suggests, the company's original business was in running wharfage and dockside warehousing, and it was originally known as The Hong Kong and Kowloon Wharf and Godown Company, Limited and founded by Sir Paul Chater. The company adopted its current name in 1986. The current major holder of the company is Wheelock & Co.",1886,Wharf Holdings ADR,$5.40,$5.40,"Nov 24, 9:30:01 AM GMT-5 · USD · OTCMKTS ·",65.40B HKD
$7.93 - $10.41,"Agricultural Bank of China, also known as AgBank, is one of the ""Big Four"" banks in China. It was founded on 10 July 1951, and has its headquarters in Dongcheng District, Beijing. It has branches throughout mainland China, Hong Kong, London, Tokyo, New York, Frankfurt, Sydney, Seoul, and Singapore. ABC has 320 million retail customers, 2.7 million corporate clients, and nearly 24,000 branches. It is China's third-largest lender by assets. ABC went public in mid-2010, fetching the world's biggest ever initial public offering at the time, since overtaken by the Saudi Arabian state-run petroleum enterprise, Saudi Aramco. In 2011, it ranked eighth among the Top 1000 World Banks, by 2015, it ranked third in Forbes' 13th annual Global 2000 list and in 2017 it ranked fifth. It is considered a systemically important bank by the Financial Stability Board.","Feb 23, 1979",Agricultural Bank of China Unsponsored China ADR,$9.24,$9.24,"Nov 24, 9:30:01 AM GMT-5 · USD · OTCMKTS ·",1.34T HKD
$235.04 - $235.04,"Grupo Aeroportuario del Sureste, S.A.B. de C.V., known as ASUR, is a Mexican airport operator headquartered in Mexico City, Mexico. It operates 9 airports in the southeastern states of Mexico, including that of Cancún. It is the third largest airport services company by passenger traffic in Mexico. It serves approximately 23 million passengers annually. ASUR is listed on the Mexican Stock Exchange and in the NYSE. It is a constituent of the IPC, the main benchmark index of the Mexican Stock Exchange.",53.75K,Grupo Aeroportuario dl Srst SAB CV,$235.67,$235.04,"Nov 24, 9:51:09 AM GMT-5 · USD · NYSE ·",$165.00 - $314.48
$4.21 - $4.21,"Tokyo Electric Power Company Holdings, Incorporated is a Japanese electric utility holding company servicing Japan's Kantō region, Yamanashi Prefecture, and the eastern portion of Shizuoka Prefecture. This area includes Tokyo. Its headquarters are located in Uchisaiwaicho, Chiyoda, Tokyo, and international branch offices exist in Washington, D.C., and London. It is a founding member of strategic consortiums related to energy innovation and research; such as JINED, INCJ and MAI. In 2007, TEPCO was forced to shut the Kashiwazaki-Kariwa Nuclear Power Plant after the Niigata-Chuetsu-Oki earthquake. That year it posted its first loss in 28 years. Corporate losses continued until the plant reopened in 2009. Following the 2011 Tōhoku earthquake and tsunami, one of its power plants was the site of one of the world's most serious ongoing nuclear disasters, the Fukushima Daiichi nuclear disaster. TEPCO could face ¥2 trillion in special losses in the current business year to March 2012, and the Japanese government plans to put TEPCO under effective state control to guarantee compensation payments to the people affected by the accident.",2.79K,Tokyo Electric Power Company Holdngs Inc,$4.37,$4.21,"Nov 22, 8:10:00 PM GMT-5 · USD · OTCMKTS ·",$3.29 - $4.73
₹495.00 - ₹509.80,"Godrej Agrovet Limited is an Indian company which operates in the animal feed and agribusiness sectors. The company, which is part of the highly diversified Godrej Group, had a turnover of around Rs. 3100 Cr in FY 2012–13. Godrej Agrovet's chairman is Nadir Godrej. The company's subsidiary, Astec LifeSciences, manufactures agrochemicals.",26.57,Godrej Agrovet Ltd,₹503.20,₹495.00,"Nov 24, 4:01:26 PM GMT+5:30 · INR · BOM ·",₹391.20 - ₹528.00
kr 1.13 - kr 1.18,"Bambuser AB is a Swedish Company founded in 2007. Bambuser provides a video commerce platform for brands looking to provide engaging and personalized shopping experiences. Bambusee is a global brand headquartered in Stockholm, Sweden. In May 2017, Bambuser was listed on Nasdaq First North stock exchange.",324.42K,Bambuser AB,kr 1.14,kr 1.17,"Nov 24, 3:30:19 PM GMT+1 · SEK · STO ·",kr 0.85 - kr 4.50
